,Precio,Precio Inicial,Estrellas,Marca,Dimensiones,RAM,Memoria,Peso
1413,313.33,"313,33",4.6,samsung,50 x 50 x 28,8.0,256.0,277.3
1414,179.99,"249,99",4.0,ulefone,"7,68 x 0,88 x 16,88",12.0,12.0,212.0
1415,583.0,"583,00",4.1,apple,"0,78 x 7,81 x 16,08",8.0,128.0,203.0
1416,79.0,"87,99",4.1,xiaomi,"18 x 4 x 8,5",3.0,3.0,310.0
1417,229.9,"229,90",4.3,xiaomi,"17,5 x 9 x 5,9",8.0,256.0,520.0
1419,819.9,"949,00",3.8,apple,50 x 50 x 28,8.0,256.0,500.0
1420,1259.99,"1.259,99",4.2,xiaomi,50 x 50 x 28,8.0,512.0,277.3
1421,109.99,"149,99",3.8,tcl,"16,8 x 0,83 x 7,67",8.0,256.0,190.0
1422,118.99,"139,99",4.0,ulefone,"16,78 x 7,74 x 0,91",8.0,256.0,530.0
1423,119.99,"119,99",4.1,xiaomi,50 x 50 x 28,6.0,6.0,277.3
1424,99.99,"99,99",4.2,blackview,"17,4 x 8,15 x 1,35",4.0,32.0,285.0
1425,159.0,"159,00",4.4,xiaomi,"17,9 x 8,9 x 5,9",8.0,128.0,490.0
1426,129.0,"129,00",4.1,samsung,17 x 3 x 8,64.0,64.0,195.0
1427,159.99,"159,99",4.2,doogee,"8 x 1,07 x 17,27",9.0,128.0,240.0
1428,179.99,"179,99",4.2,samsung,10 x 10 x 10,8.0,128.0,400.0
1429,209.0,"249,00",4.5,oppo,"16,58 x 7,61 x 0,77",16.0,16.0,200.0
1430,220.09,"220,09",4.5,samsung,"16,51 x 7,64 x 0,88",8.0,4.0,195.0
1431,78.0,"78,00",3.2,fine life pro,"17,27 x 8,13 x 2,29",2.0,16.0,358.0
1432,89.0,"99,00",3.6,xiaomi,50 x 50 x 28,4.0,128.0,500.0
1433,146.9,"151,47",4.4,samsung,"7,79 x 0,79 x 16,44",4.0,128.0,200.0
1434,220.0,"229,00",4.3,samsung,"0,89 x 7,53 x 16,37",4.0,4.0,250.0
1435,259.99,"259,99",4.5,doogee,6 x 20 x 28,16.0,256.0,343.0
1437,112.0,"130,02",4.2,xiaomi,"16,8 x 7,8 x 0,8",4.0,4.0,192.0
1438,165.64,"165,64",4.4,xiaomi,18 x 9 x 5,8.0,256.0,400.0
1439,189.99,"189,99",4.2,oukitel,"23,2 x 17 x 5,3",24.0,128.0,208.0
1441,156.0,"156,00",4.3,xiaomi,50 x 50 x 28,8.0,8.0,277.3
1442,334.99,"334,99",4.4,samsung,"15,57 x 7,45 x 0,79",6.0,128.0,177.0
1446,99.99,"99,99",4.1,ulefone,"16,32 x 7,52 x 0,92",8.0,128.0,196.0
1448,599.0,"639,00",4.5,samsung,50 x 50 x 28,8.0,8.0,360.0
1449,234.9,"250,00",4.0,xiaomi,"8 x 0,8 x 19",8.0,256.0,190.0
1450,179.99,"179,99",3.9,ulefone,"16,88 x 7,68 x 0,88",12.0,12.0,350.0
1452,189.99,"189,99",4.2,oukitel,"23,4 x 18,7 x 5,8",24.0,128.0,208.0
1453,1619.0,"1.719,00",4.4,apple,50 x 50 x 28,8.0,512.0,277.3
1454,120.0,"120,00",4.6,poco,50 x 50 x 28,6.0,128.0,190.0
1455,234.99,"299,00",4.5,motorola,"16 x 7,4 x 0,8",8.0,256.0,160.0
1456,199.0,"199,00",4.0,samsung,"15,98 x 7,45 x 0,84",6.0,6.0,193.0
1457,601.49,"601,49",4.3,asus,"17,3 x 7,7 x 1",16.0,16.0,239.0
1458,119.9,"119,90",4.4,xiaomi,"15,9 x 7,3 x 0,9",8.0,8.0,176.0
1459,253.0,"253,00",3.9,samsung,50 x 50 x 28,8.0,256.0,200.0
1460,224.99,"224,99",3.5,doogee,19 x 10 x 5,20.0,256.0,680.0
1461,89.99,"89,99",4.3,blackview,"17,1 x 8,7 x 5,6",8.0,128.0,186.0
1462,119.99,"119,99",4.1,doogee,16 x 6 x 4,16.0,256.0,380.0
1463,339.99,"339,99",4.1,ulefone,"6,33 x 2,49 x 13,35",16.0,16.0,301.0
1464,57.27,"57,27",3.4,mcmgc,"16,7 x 9,2 x 5,4",8.0,4.0,320.0
1465,119.99,"119,99",4.1,ulefone,"7,52 x 0,91 x 16,32",8.0,8.0,196.0
1466,179.99,"179,99",3.9,doogee,"19,3 x 10,3 x 5,8",16.0,256.0,267.0
1467,299.0,"299,00",4.1,samsung,"0,69 x 7,22 x 16,6",8.0,128.0,183.0
1468,62.99,"65,99",2.6,qrzrq,"18 x 9,8 x 5,5",1.0,16.0,250.0
1469,259.0,"259,00",3.7,apple,50 x 50 x 28,8.0,128.0,380.0
1470,574.99,"574,99",4.0,apple,"0,78 x 7,81 x 16,08",8.0,128.0,203.0
1471,194.99,"194,99",4.3,motorola,50 x 50 x 28,8.0,256.0,181.0
1472,249.99,"249,99",5.0,oscal,"18,55 x 8,5 x 2,2",8.0,256.0,540.0
1473,89.0,"99,00",4.8,vivo,"18,4 x 9,5 x 5,7",8.0,128.0,512.0
1474,749.0,"999,00",4.4,google,"15,28 x 7,2 x 0,85",8.0,256.0,190.0
1475,699.0,"899,00",4.4,google,"15,28 x 7,2 x 0,85",8.0,128.0,190.0
1476,249.99,"249,99",4.3,realme,50 x 50 x 28,8.0,256.0,500.0
1477,209.99,"260,00",4.1,lg,"7,19 x 0,79 x 15,32",4.0,4.0,162.0
1478,325.0,"325,00",4.4,samsung,"0,86 x 7,9 x 16,23",8.0,128.0,213.0
1479,235.15,"235,15",4.4,samsung,16 x 3 x 8,4.0,128.0,280.0
1480,139.99,"139,99",4.3,oukitel,"24,2 x 18,5 x 7,2",16.0,64.0,670.0
1481,99.99,"99,99",5.0,ulefone,"16,32 x 7,52 x 0,92",8.0,1024.0,300.0
1483,125.0,"199,00",4.4,realme,"0,8 x 7,39 x 16,06",4.0,64.0,177.0
1484,1329.0,"1.329,00",4.6,samsung,"33,5 x 24,6 x 3,7",8.0,512.0,820.0
1485,259.9,"259,90",4.3,samsung,"16,72 x 7,64 x 0,9",4.0,4.0,203.0
1486,139.99,"148,99",4.2,realme,"16,46 x 7,52 x 0,76",6.0,128.0,494.0
1487,838.21,"838,21",4.1,apple,"14,76 x 7,16 x 0,79",8.0,128.0,340.0
1488,650.0,"739,00",4.5,apple,50 x 50 x 28,8.0,128.0,277.3
1490,183.87,"183,87",4.3,xiaomi,50 x 50 x 28,8.0,256.0,180.0
1491,469.0,"469,00",3.6,apple,"7,8 x 0,74 x 16,08",8.0,128.0,228.0
1492,373.89,"373,89",3.8,apple,50 x 50 x 28,2.0,512.0,400.0
1493,79.99,"89,99",4.0,ulefone,"16,32 x 7,52 x 0,87",6.0,32.0,490.0
1494,99.99,"99,99",4.0,ulefone,"18,5 x 9,9 x 5,4",6.0,3.0,510.0
1495,299.99,"759,00",4.2,samsung,"0,84 x 7,45 x 15,98",6.0,6.0,190.0
1496,135.0,"135,00",4.4,samsung,"7,78 x 0,88 x 16,8",8.0,4.0,195.0
1498,159.99,"159,99",4.4,xiaomi,"15,83 x 7,53 x 0,83",4.0,4.0,190.0
1500,160.39,"160,39",4.1,samsung,17 x 8 x 7,8.0,128.0,450.0
1501,139.99,"139,99",4.3,xiaomi,"15,99 x 7,39 x 0,81",8.0,8.0,176.0
1502,212.64,"212,64",3.0,huawei,"15,92 x 7,63 x 0,87",6.0,6.0,485.0
1504,121.98,"131,00",4.4,xiaomi,"19,4 x 9,3 x 3,7",8.0,256.0,380.0
1505,304.46,"446,30",4.5,samsung,50 x 50 x 28,8.0,256.0,277.3
1506,149.99,"169,99",4.2,blackview,"17,4 x 0,82 x 1,93",8.0,128.0,438.0
1507,92.99,"119,99",3.8,xiaomi,"16,48 x 7,71 x 0,9",2.0,2.0,194.0
1508,55.99,"55,99",2.8,hyrich,"18,7 x 9,9 x 5,6",8.0,16.0,350.0
1509,65.91,"65,91",3.8,ati,50 x 50 x 28,2.0,32.0,216.0
1510,143.81,"143,81",4.4,samsung,"16,6 x 8,2 x 4,8",4.0,4.0,188.0
1511,169.99,"179,99",4.2,doogee,"17,27 x 8 x 1,1",8.0,256.0,450.0
1512,1014.16,"1.014,16",4.6,apple,"0,78 x 7,78 x 16,09",8.0,256.0,350.0
1513,151.99,"199,99",4.4,oukitel,"24,3 x 17,6 x 6,7",24.0,256.0,660.0
